"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","S80S20","RT","A","2016",5.5,
"AUS","INCOMEINEQ","S80S20","RT","A","2018",5.6,
"AUT","INCOMEINEQ","S80S20","RT","A","2016",4.5,
"AUT","INCOMEINEQ","S80S20","RT","A","2017",4.2,
"AUT","INCOMEINEQ","S80S20","RT","A","2018",4.3,
"BEL","INCOMEINEQ","S80S20","RT","A","2018",3.8,
"CAN","INCOMEINEQ","S80S20","RT","A","2016",5.1,
"CAN","INCOMEINEQ","S80S20","RT","A","2017",5.1,
"CAN","INCOMEINEQ","S80S20","RT","A","2018",4.9,
"CAN","INCOMEINEQ","S80S20","RT","A","2019",4.9,
"CZE","INCOMEINEQ","S80S20","RT","A","2016",3.6,
"CZE","INCOMEINEQ","S80S20","RT","A","2017",3.5,
"CZE","INCOMEINEQ","S80S20","RT","A","2018",3.5,
"DNK","INCOMEINEQ","S80S20","RT","A","2016",3.7,
"DNK","INCOMEINEQ","S80S20","RT","A","2017",3.8,
"FIN","INCOMEINEQ","S80S20","RT","A","2016",3.7,
"FIN","INCOMEINEQ","S80S20","RT","A","2017",3.8,
"FIN","INCOMEINEQ","S80S20","RT","A","2018",3.9,
"FRA","INCOMEINEQ","S80S20","RT","A","2016",4.3,
"FRA","INCOMEINEQ","S80S20","RT","A","2017",4.4,
"FRA","INCOMEINEQ","S80S20","RT","A","2018",4.6,
"DEU","INCOMEINEQ","S80S20","RT","A","2016",4.6,
"DEU","INCOMEINEQ","S80S20","RT","A","2017",4.5,
"DEU","INCOMEINEQ","S80S20","RT","A","2018",4.4,
"GRC","INCOMEINEQ","S80S20","RT","A","2016",6,
"GRC","INCOMEINEQ","S80S20","RT","A","2017",5.4,
"GRC","INCOMEINEQ","S80S20","RT","A","2018",5,
"HUN","INCOMEINEQ","S80S20","RT","A","2016",4.3,
"HUN","INCOMEINEQ","S80S20","RT","A","2017",4.4,
"ISL","INCOMEINEQ","S80S20","RT","A","2016",3.8,
"ISL","INCOMEINEQ","S80S20","RT","A","2017",3.5,
"IRL","INCOMEINEQ","S80S20","RT","A","2016",4.7,
"IRL","INCOMEINEQ","S80S20","RT","A","2017",4.4,
"IRL","INCOMEINEQ","S80S20","RT","A","2018",4.3,
"ITA","INCOMEINEQ","S80S20","RT","A","2016",5.9,
"ITA","INCOMEINEQ","S80S20","RT","A","2017",6.1,
"ITA","INCOMEINEQ","S80S20","RT","A","2018",6,
"LUX","INCOMEINEQ","S80S20","RT","A","2016",4.9,
"LUX","INCOMEINEQ","S80S20","RT","A","2017",5.6,
"LUX","INCOMEINEQ","S80S20","RT","A","2018",5.2,
"MEX","INCOMEINEQ","S80S20","RT","A","2016",10.3,
"MEX","INCOMEINEQ","S80S20","RT","A","2018",8.6,
"NLD","INCOMEINEQ","S80S20","RT","A","2016",4.3,"P"
"NOR","INCOMEINEQ","S80S20","RT","A","2016",3.9,
"NOR","INCOMEINEQ","S80S20","RT","A","2017",4,
"NOR","INCOMEINEQ","S80S20","RT","A","2018",4,
"POL","INCOMEINEQ","S80S20","RT","A","2016",4.4,
"POL","INCOMEINEQ","S80S20","RT","A","2017",4.2,
"POL","INCOMEINEQ","S80S20","RT","A","2018",4.3,
"PRT","INCOMEINEQ","S80S20","RT","A","2016",5.6,
"PRT","INCOMEINEQ","S80S20","RT","A","2017",5.2,
"PRT","INCOMEINEQ","S80S20","RT","A","2018",5.1,
"SVK","INCOMEINEQ","S80S20","RT","A","2016",3.7,
"SVK","INCOMEINEQ","S80S20","RT","A","2017",3.2,
"SVK","INCOMEINEQ","S80S20","RT","A","2018",3.5,
"ESP","INCOMEINEQ","S80S20","RT","A","2016",6.5,
"ESP","INCOMEINEQ","S80S20","RT","A","2017",6,
"ESP","INCOMEINEQ","S80S20","RT","A","2018",5.9,
"SWE","INCOMEINEQ","S80S20","RT","A","2016",4.2,
